sk	M	a	lng	mx
560	1000	1.06998862184622	70	-6.24430124123208
563	100	1.01743766638875	29	-7.91527551315547
564	10	1.0372092655065	50	-7.45870197316444
565	1	1.12496196428877	101	-3.95058427248067
570	1000	1.05784927732887	56	-6.81691143488736
571	100	1.21423309283586	133	-0.157766414826302
572	10	1.01644312302726	29	-7.89566202072602
574	10	1.00144947633723	2	-8.02501101620648
575	1	1.18257256575538	113	-2.29222484699944
576	10	1.0037072774156	6	-8.0213809832998
577	100	1.0174811783547	27	-7.88043358573669
582	100	1.11496185724178	76	-5.48587267871656
586	100	1.15039341037698	87	-4.71453077809151
588	10	1.02721425035994	24	-7.80356766615424
590	1	1.07878475131484	43	-6.93036366019465
592	1000	1.00550137574752	6	-8.01793289711474
593	100	1.17095440210361	86	-4.75624193826609
594	10	1.03758231898417	22	-7.75586995605569
595	1000	1.18064109713535	88	-4.55626929532016
596	100	1.0390803106877	21	-7.77039505861492
597	1000	1.10369401083727	49	-6.79468010304986
601	1000	1.15817397241204	74	-5.80064184718741
602	1000	1.07230025104294	27	-7.5113904806457
604	1000	1.08930499846143	35	-7.33897523048664
605	10	1.07437828975956	26	-7.56074181712388
610	100	1.05191362578073	16	-7.83561647826461
611	100	1.00639428700136	1	-8.02607012065022
612	1000	1.04700288925034	15	-7.87305801000862
614	1	1.07481777628856	38	-7.6064005643423
616	1	1.13452004900872	68	-5.5321665260632
623	1000	1.05944282368478	46	-7.29677274772594
625	1	1.04308726267561	40	-7.59193372410857
626	1	1.03273322524355	35	-7.78111800666018
628	1	1.02292544699834	29	-7.90076634953599
629	1	1.26010088933396	180	-0.0202337546507455
630	1000	1.06740517475396	47	-6.71685935930091
634	1000	1.02875267307774	31	-7.67777031166576
635	10	1.06805491827531	42	-6.79018309544801
637	1	1.01645274737107	23	-7.8882452378799
638	1	1.06139217419001	37	-7.04165027267428
639	10	1.01500025792133	21	-7.91183491431636
640	1	1.10552130994879	49	-6.14978440916993
642	10	1.14901275909514	69	-5.32344833535744
644	1000	1.03528576669489	23	-7.69484215319123
645	10	1.16692430770237	79	-5.28947633385696
647	1	1.08089675083478	30	-7.12853379873582
648	1	1.11046307766092	37	-6.73090987027303
649	100	1.18072006012357	86	-5.52164410853116
651	10	1.05133998875925	18	-7.69773114603356
652	10	1.1594737241991	57	-6.29274332314959
653	10	1.05326999294031	16	-7.73957714583488
657	10	1.0119859180627	3	-8.01770035427603
659	10	1.01214417186295	2	-8.02043793692375
663	10	1.02676733726995	4	-8.0043094167855
664	10	1.13380145804194	71	-7.25772785369201
666	1000	1.08729453910789	24	-7.71243276285686
667	10	1.11118558266943	81	-7.36390299692196
668	1000	1.01921610771865	2	-8.01730444062601
670	1	1.07068737068841	59	-7.71072740656735
675	1	1.14546038783352	170	-0.603355727594313
677	1000	1.0973839856296	140	-3.63749351732035
680	10	1.10558352528208	150	-2.49109736025845
681	1000	1.04375881664866	94	-6.48770963216785
682	1	1.07818684304192	130	-4.23898337067228
683	100	1.0241114896473	74	-7.36099156299785
684	1000	1.02402676810405	74	-7.32257686455818
685	1000	1.03379218727179	85	-6.81493428842064
687	100	1.05756964795087	110	-5.48597798387528
688	1	1.00531312493453	39	-7.97522899346898
690	100	1.0216459510793	68	-7.36518217510595
692	10	1.02710788978303	72	-7.14262588419678
693	100	1.04204645321347	87	-6.46253072742326
696	100	1.02646702878594	67	-7.2377131865776
703	1	1.01707632063163	48	-7.6821390778175
705	100	1.04758040247077	76	-6.63722956394998
706	10	1.00108369493225	6	-8.02562543373871
708	100	1.09248571419623	110	-4.77657223059325
712	10	1.02747534855341	47	-7.53671940281218
717	1000	1.16406425077683	141	-1.28071721859577
718	10	1.03101496444998	42	-7.56913992685111
719	1	1.11192525955167	107	-4.67667738976504
720	10	1.14333931280798	126	-2.9511537105055
722	1	1.13427035478992	117	-3.68782788335932
724	10	1.05836133307797	59	-7.0298742192779
727	10	1.16087130672847	127	-2.52892856302262
728	1000	1.10635415372617	92	-5.56014947996249
729	100	1.11840168703943	98	-5.05236933935989
732	1	1.03783424673195	33	-7.68259152109794
733	1000	1.08052616159294	70	-6.72221255420643
735	10	1.05360703430845	44	-7.44064947584751
737	1	1.11977604473461	92	-5.28819846225485
738	1000	1.13311619486417	100	-4.62109399500333
740	1000	1.03776571971472	28	-7.76345410412923
744	10	1.01971886560172	13	-7.96345301014695
748	100	1.1237768632468	92	-4.98869386405805
749	1	1.01896263728109	13	-7.97174443229657
751	100	1.0529739879914	47	-7.50109127173469
752	1	1.05052544145528	45	-7.54749210674013
754	100	1.04093363439439	38	-7.70285660045267
755	1000	1.18033169141676	117	-2.1158820979639
758	1000	1.13723740741479	99	-4.18786764648864
759	10	1.03175748441185	31	-7.81876923564054
761	100	1.00230162467437	1	-8.02604719667149
762	10	1.20698120156303	125	-0.81772893505077
763	100	1.10285959871035	79	-5.61061871528651
764	10	1.09728556291436	74	-5.85146778892637
768	1	1.14374077079172	96	-4.13665315383361
770	1	1.05944839407739	49	-7.10125201826391
771	10	1.1994771967806	115	-1.67256936131975
776	10	1.20957046419926	115	-1.48466452008251
777	1000	1.09907878629222	67	-6.17341444819522
778	10	1.00179569633436	1	-8.02606351802547
780	10	1.01945829422283	19	-7.92276711910916
781	1	1.11997683579804	74	-5.77022057088618
785	1	1.14012737134275	78	-5.38316321221766
787	1	1.07217908526894	41	-7.20397032118849
788	100	1.17579198026975	88	-4.13506555485552
789	100	1.05943811539395	32	-7.4797798974888
794	100	1.04537398490824	22	-7.76257549048171
799	100	1.11915947716972	61	-6.54284299692363
802	100	1.1299583366397	64	-6.08577354323263
803	1	1.00704459923279	2	-8.02393891974444
806	100	1.19075740956062	89	-3.52436093067128
810	1000	1.05204224140843	31	-7.73596386359928
811	1	1.1380034552106	66	-5.25604242828101
812	100	1.04516881490237	29	-7.78833609350616
814	100	1.13954298399568	68	-5.05601291056244
816	1000	1.09539353126256	52	-6.39157327241431
817	10	1.10793255334318	55	-5.98823735904446
820	10	1.27800947538015	124	-0.233093805620519
821	100	1.0520331697206	36	-7.41938345433859
823	10	1.11030578976307	53	-5.93261310223379
824	1	1.08565075067791	44	-6.59674822282829
826	1	1.00869854373765	9	-8.00895873434535
827	1000	1.07895710498431	40	-6.82675700088774
828	1	1.24912875538711	105	-2.26226156935063
833	100	1.2087660485021	85	-4.2273327030934
836	1000	1.03229989310888	18	-7.8245526865864
838	1000	1.2843981651502	107	-2.0021912697402
